,News,Tweet,Compound,Positive,Negative,Neutral,Tweet Ago
0,BBC,Chile has launched a huge hiking route through its Patagonian wilderness. 🌲😍🏔  https://t.co/WFIcKZe5Hv https://t.co/RLKjTx2Emo,0.4215,0.257,0.0,0.743,1
1,BBC,🐣😍 Conservationists have been monitoring the progress of rare Leach's storm petrel chicks on the remote Scottish ar… https://t.co/KzMHUIysAO,0.4215,0.135,0.0,0.865,2
2,BBC,"'My children bought back the car I sold to pay for wife's cancer treatment'. ❤️️🚘

https://t.co/xOJwzbgGlE https://t.co/Tx3WYCkCXu",-0.7003,0.0,0.293,0.707,3
3,BBC,"RT @BBCEngland: Benny the beluga whale is spending his fifth day in the Thames but appears to be healthy and swimming normally, the Port of…",0.5499,0.129,0.0,0.871,4
4,BBC,"Always start by playing paper! 👊✋✌️

This is how to win at rock-paper-scissors... 

https://t.co/2VzUFq74FT",0.7088,0.329,0.0,0.671,5
5,BBC,"'What do I know her from again?' 🤔📺

These are the TV actors who pop up in everything. https://t.co/XLQBs5bE5p https://t.co/DJWV8U3OhY",0.0,0.0,0.0,1.0,6
6,BBC,"This is the world's most dangerous city to be a woman. 

https://t.co/v1qrWFF6B6",-0.5256,0.0,0.253,0.747,7
7,BBC,"""New York City is underwhelming"". 😳😳😳
 
#UnpopularOpinion was HARSH this week. 😂 @gregjames

https://t.co/pSz5eP8YbR",-0.186,0.156,0.227,0.616,8
8,BBC,"What's it like growing up with tourettes?

Brother and sister Jack and Rebecca describe how people react to their t… https://t.co/VXY3jdCbEu",0.4939,0.181,0.0,0.819,9
9,BBC,"This school became a national leader by focusing on a neglected subject... 

https://t.co/5c7iSPT3rc",-0.5267,0.0,0.254,0.746,10
10,BBC,RT @BBCOne: .@LadyGaga &amp; Jodie Whittaker playing the #DoctorWho theme tune on the theremin is a joy to behold. #TheGNShow https://t.co/0aLu…,0.6808,0.237,0.0,0.763,11
11,BBC,"""I've broken around 80 bones"". 😬🏥

Meet the man who can't feel pain. 👉 https://t.co/6qsfeQmIct https://t.co/6jXkhYCTza",-0.1022,0.118,0.136,0.746,12
12,BBC,"Say hello to baby Omo, a rare albino squirrel... 😍🐿️

https://t.co/FVppFQSOJw",0.0,0.0,0.0,1.0,13
13,BBC,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/827iYwzryJ",0.0,0.0,0.0,1.0,14
14,BBC,"The Graham Norton Show is back! Tonight Bradley Cooper, @ladygaga, Jodie Whittaker and @ryangosling join @grahnort… https://t.co/prBbKLrkaO",0.3595,0.135,0.0,0.865,15
15,BBC,"It's the Celebrity MasterChef final! After six gruelling weeks, just two tough challenges stand between the three r… https://t.co/mLCixMGG8v",-0.126,0.065,0.089,0.846,16
